startingAirport,destinationAirport,median_distance,median_duration,median_segments_distance
1,1,0.62015104,-0.2787071,-0.25681067
1,2,1.4887593,-0.31975737,-0.28789693
1,3,0.9446727,-0.31975737,-0.41878647
1,4,-0.44871962,-0.44290814,-0.39097244
1,5,0.0350469,-0.4839584,-0.42533094
1,6,0.72390145,-0.40185788,-0.28789693
1,7,1.1533799,-0.31975737,-0.2600829
1,8,1.0822023,-0.40185788,-0.28789693
1,9,1.2655752,-0.31975737,-0.28789693
1,10,-0.594694,-0.5523755,-0.48750347
1,11,1.3029736,-0.19660658,-0.2093632
1,12,1.6998793,0.06337841,0.18003316
1,13,0.4343654,-0.31975737,-0.28789693
1,14,1.1159816,-0.31975737,-0.28789693
1,15,-1.5055263,-0.86709416,-0.83272463
2,1,-0.43183002,-0.29239053,-0.20118262
2,2,-0.13264273,-0.08713921,0.022965718
2,3,-0.36427158,-0.046088953,0.09004661
2,5,-0.6670781,-0.16923973,-0.12755725
2,6,-0.3377308,-0.2787071,-0.25353843
2,7,-0.040956315,-0.032405533,0.09004661
2,8,-0.21347156,-0.4155413,-0.25353843
2,9,0.0278085,0.14547893,0.17021644
2,10,-1.1592894,-0.67552626,-0.6429348
2,11,0.0278085,-0.046088953,0.09004661
2,12,0.0253957,0.26862973,0.41890657
2,13,-0.65501404,-0.4155413,-0.25353843
2,14,-0.15677074,-0.046088953,0.080229886
2,15,-0.8685469,-0.42922473,-0.4220587
2,16,-0.28464916,-0.36080763,-0.28789693
3,1,-1.3897119,-0.42922473,-0.50222856
3,2,-1.5658463,-0.7986771,-0.85235804
3,3,-1.6418495,-0.7713102,-0.85235804
3,4,0.0278085,0.15916236,0.09004661
3,5,-0.528342,0.09074525,-0.1406462
3,6,-1.3486942,-0.7165766,-0.7476464
3,8,-1.2473567,-0.75762683,-0.7476464
3,10,0.8360967,0.73386604,0.6381465
3,12,-0.8781981,-0.046088953,-0.2093632
3,13,-1.339043,-0.29239053,-0.41551423
3,14,-1.0989693,-0.5250087,-0.5938512
3,15,1.1135688,0.6380821,0.47944298
3,16,1.3029736,0.17284577,-0.2093632
4,1,0.15689333,-0.032405533,0.0982272
4,2,0.8819399,0.7201826,0.80339456
4,3,0.42230138,0.07706183,0.13422182
4,4,-1.152051,-0.56605893,-0.4220587
4,5,-0.43303642,-0.19660658,-0.06865696
4,6,0.37163258,0.29599655,0.4810791
4,7,0.8083495,0.4465142,0.6381465
4,8,0.65996224,0.3233634,0.53834325
4,9,0.9507047,0.9664841,0.8704755
4,11,0.8360967,0.54229814,0.6381465
4,12,0.7407911,0.3917805,0.43690386
4,13,0.13517812,0.29599655,0.19966659
4,14,0.76009345,0.4054639,0.6348743
4,15,-1.1423998,-0.81236047,-0.78200495
4,16,-0.594694,-0.5797424,-0.48750347
5,2,-1.1797981,-0.5797424,-0.50222856
5,3,-0.8034013,-0.5523755,-0.50222856
5,4,-0.4233852,-0.11450605,-0.20118262
5,5,-1.2075454,-0.22397342,-0.25681067
5,6,-1.0519197,-0.53869206,-0.56112885
5,7,-1.3897119,-0.5797424,-0.49568406
5,8,-1.1363678,-0.8807776,-0.85235804
5,9,-1.0820798,-0.5797424,-0.50222856
5,10,0.14724213,0.3233634,0.5645212
5,11,-1.3897119,-0.56605893,-0.50222856
5,12,-0.07111632,-0.1418729,-0.1406462
5,13,-0.95299494,-0.2787071,-0.40569752
5,14,-1.2859614,-0.47027498,-0.412242
5,15,0.5562118,-0.059772372,-0.060476363
5,16,0.58757824,-0.19660658,-0.25681067
6,1,-0.81667167,-0.47027498,-0.49568406
6,2,-1.4415871,-0.7713102,-0.72310466
6,4,-0.36427158,-0.100822635,-0.19627425
6,5,-1.0579518,-0.6618429,-0.56112885
6,6,-1.079667,-0.634476,-0.5938512
6,7,-1.127923,-0.634476,-0.5938512
6,8,-1.3981566,-0.7713102,-0.7476464
6,9,-1.2147838,-0.86709416,-0.85235804
6,10,0.42230138,0.21389604,0.13422182
6,11,-1.6418495,-0.8260439,-0.85235804
6,12,-1.3281854,-0.53869206,-0.49568406
6,13,-1.4126334,-0.7165766,-0.8490858
6,14,-1.242531,-0.6207926,-0.6282097
6,15,0.76250625,0.15916236,0.11131615
6,16,0.85901827,-0.12818947,-0.41878647
7,1,-1.2859614,-0.4155413,-0.412242
